school_name,latitude,longitude,vacancies
YU NENG PRIMARY SCHOOL,1.333903809,103.9320341,25
XINMIN PRIMARY SCHOOL,1.371414726,103.8830391,48
YANGZHENG PRIMARY SCHOOL,1.348976808,103.8684671,44
JUYING PRIMARY SCHOOL,1.338951451,103.6878331,33
JUNYUAN PRIMARY SCHOOL,1.347891544,103.9396469,24
NORTHLAND PRIMARY SCHOOL,1.421304042,103.8407929,53
NAVAL BASE PRIMARY SCHOOL,1.416280153,103.8387977,74
XINGNAN PRIMARY SCHOOL,1.34268487,103.687724,37
QIHUA PRIMARY SCHOOL,1.442035966,103.7883398,48
GUANGYANG PRIMARY SCHOOL,1.346042665,103.8492848,46
TAMPINES NORTH PRIMARY SCHOOL,1.36069172,103.9489368,71
ELIAS PARK PRIMARY SCHOOL,1.375056963,103.9452894,52
AHMAD IBRAHIM PRIMARY SCHOOL,1.433681207,103.8329243,92
NORTH VIEW PRIMARY SCHOOL,1.427943403,103.8483683,44
PIONEER PRIMARY SCHOOL,1.348720927,103.6948679,66
PUNGGOL PRIMARY SCHOOL,1.378200623,103.8947533,64
PARK VIEW PRIMARY SCHOOL,1.378016876,103.9392022,52
ADMIRALTY PRIMARY SCHOOL,1.442549639,103.8002137,53
KRANJI PRIMARY SCHOOL,1.393910031,103.7474154,61
SENG KANG PRIMARY SCHOOL,1.389250457,103.8995279,87
WOODLANDS RING PRIMARY SCHOOL,1.434769705,103.7978411,61
WEST VIEW PRIMARY SCHOOL,1.383590574,103.7602891,64
WHITE SANDS PRIMARY SCHOOL,1.365517813,103.9609482,40
UNITY PRIMARY SCHOOL,1.40282339,103.7469934,54
CANBERRA PRIMARY SCHOOL,1.451064007,103.8159709,52
RIVERVALE PRIMARY SCHOOL,1.393414025,103.9045595,62
JURONG WEST PRIMARY SCHOOL,1.339243753,103.6988958,45
EAST SPRING PRIMARY SCHOOL,1.352770138,103.9617431,44
EVERGREEN PRIMARY SCHOOL,1.444148359,103.7945453,43
COMPASSVALE PRIMARY SCHOOL,1.394445295,103.8978122,72
WOODGROVE PRIMARY SCHOOL,1.43305806,103.7903896,41
SEMBAWANG PRIMARY SCHOOL,1.445043645,103.8210215,55
CONCORD PRIMARY SCHOOL,1.380411513,103.7361428,73
NORTH SPRING PRIMARY SCHOOL,1.387528236,103.903513,67
YEW TEE PRIMARY SCHOOL,1.396726035,103.751818,55
HOUGANG PRIMARY SCHOOL,1.378039861,103.8811662,60
MERIDIAN PRIMARY SCHOOL,1.375970831,103.9351432,62
GREENWOOD PRIMARY SCHOOL,1.440110498,103.8046293,61
ANDERSON PRIMARY SCHOOL,1.384665965,103.8412384,47
WELLINGTON PRIMARY SCHOOL,1.451890833,103.8223419,85
EDGEFIELD PRIMARY SCHOOL,1.400297835,103.9074305,68
WEST GROVE PRIMARY SCHOOL,1.344712122,103.6989642,40
CASUARINA PRIMARY SCHOOL,1.372789016,103.9572913,48
CLEMENTI PRIMARY SCHOOL,1.315808563,103.7630548,75
TANJONG KATONG PRIMARY SCHOOL,1.32401712,103.9389668,49
ANGLO-CHINESE SCHOOL (JUNIOR),1.309321297,103.8406435,46
CHIJ PRIMARY (TOA PAYOH),1.332818153,103.8419184,42
CHIJ (KELLOCK),1.302050821,103.8002646,70
CHIJ OUR LADY OF THE NATIVITY,1.373174017,103.8976594,76
DE LA SALLE SCHOOL,1.395071916,103.7434436,66
ST. ANDREW'S JUNIOR SCHOOL,1.331389131,103.8651289,50
ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,1.334806855,103.9412089,84
ST. GABRIEL'S PRIMARY SCHOOL,1.349246034,103.862332,45
ST. MARGARET'S PRIMARY SCHOOL,1.304144074,103.8458203,65
ST. JOSEPH'S INSTITUTION JUNIOR,1.317702253,103.8456701,60
ST. STEPHEN'S SCHOOL,1.318816206,103.9175261,74
CHIJ OUR LADY OF GOOD COUNSEL,1.357951427,103.8642502,50
MONTFORT JUNIOR SCHOOL,1.373937639,103.8896908,51
CHIJ OUR LADY QUEEN OF PEACE,1.366758014,103.7676948,66
FAIRFIELD METHODIST SCHOOL (PRIMARY),1.300798691,103.7856922,32
GEYLANG METHODIST SCHOOL (PRIMARY),1.318144168,103.8836285,78
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,1.349114574,103.8544477,45
ST. HILDA'S PRIMARY SCHOOL,1.349349944,103.9379205,56
SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,1.320394162,103.8299478,34
METHODIST GIRLS' SCHOOL (PRIMARY),1.33286306,103.7833634,21
NAN CHIAU PRIMARY SCHOOL,1.392064681,103.890925,59
CANOSSA CATHOLIC PRIMARY SCHOOL,1.326853515,103.8810021,47
KONG HWA SCHOOL,1.311114219,103.8882094,51
MEE TOH SCHOOL,1.394853563,103.9085726,93
NGEE ANN PRIMARY SCHOOL,1.305525067,103.917463,65
RED SWASTIKA SCHOOL,1.33349383,103.9343749,20
TAO NAN SCHOOL,1.304631529,103.9112042,34
NANYANG PRIMARY SCHOOL,1.321070942,103.8076819,20
ST. ANTHONY'S PRIMARY SCHOOL,1.364639125,103.749294,49
MAHA BODHI SCHOOL,1.328580239,103.9013069,43
PEI CHUN PUBLIC SCHOOL,1.332740881,103.8586287,27
POI CHING SCHOOL,1.358087001,103.9353525,70
KHENG CHENG SCHOOL,1.337407636,103.8477611,75
NAN HUA PRIMARY SCHOOL,1.306142317,103.7651726,20
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,1.338055078,103.7761082,20
AI TONG SCHOOL,1.36058343,103.8330203,30
HONG WEN SCHOOL,1.321689285,103.8576518,48
HOLY INNOCENTS' PRIMARY SCHOOL,1.366737841,103.8936841,45
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),1.349841864,103.8849784,75
CHONGFU SCHOOL,1.438462312,103.8390707,46
CHIJ (KATONG) PRIMARY,1.306526862,103.9109216,67
ANGLO-CHINESE SCHOOL (PRIMARY),1.318718599,103.8353452,28
CATHOLIC HIGH SCHOOL,1.354788877,103.8449341,20
MARIS STELLA HIGH SCHOOL,1.342183956,103.8780965,55
CHIJ ST. NICHOLAS GIRLS' SCHOOL,1.373729673,103.8343089,20
MARYMOUNT CONVENT SCHOOL,1.340427023,103.839899,83
