school_name,latitude,longitude,cutoff
ZHENGHUA SECONDARY SCHOOL,1.388197023,103.7652523,211
REGENT SECONDARY SCHOOL,1.393094082,103.7506856,201
KENT RIDGE SECONDARY SCHOOL,1.301352887,103.7649275,214
WESTWOOD SECONDARY SCHOOL,1.353526135,103.7016043,196
CANBERRA SECONDARY SCHOOL,1.453279711,103.8144707,193
COMPASSVALE SECONDARY SCHOOL,1.396217575,103.8998722,214
EVERGREEN SECONDARY SCHOOL,1.441220838,103.7937715,227
ANGLO-CHINESE SCHOOL (INDEPENDENT),1.30349131,103.7798311,250
ASSUMPTION ENGLISH SCHOOL,1.369162953,103.7679375,188
CHIJ SECONDARY (TOA PAYOH),1.33246213,103.8427194,246
GEYLANG METHODIST SCHOOL (SECONDARY),1.317658971,103.8825037,228
CHIJ KATONG CONVENT,1.306597224,103.9177542,227
MONTFORT SECONDARY SCHOOL,1.373950678,103.8888598,208
SINGAPORE CHINESE GIRLS' SCHOOL,1.321252314,103.8277091,252
ST. ANDREW'S SECONDARY SCHOOL,1.330990274,103.8659461,242
ST. ANTHONY'S CANOSSIAN SECONDARY SCHOOL,1.334961214,103.9416688,227
ST. GABRIEL'S SECONDARY SCHOOL,1.346644168,103.8757342,226
CHIJ ST. JOSEPH'S CONVENT,1.391780991,103.9025774,237
ST. JOSEPH'S INSTITUTION,1.323655609,103.8285665,245
ST. MARGARET'S SECONDARY SCHOOL,1.319774641,103.8096022,242
ST. PATRICK'S SCHOOL,1.30801786,103.9174618,229
CHIJ ST. THERESA'S CONVENT,1.276029248,103.8223439,238
CHRIST CHURCH SECONDARY SCHOOL,1.426539819,103.7929872,207
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),1.350805128,103.8855866,250
YUYING SECONDARY SCHOOL,1.356933603,103.8904576,188
KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,1.350109648,103.8548917,236
ST. HILDA'S SECONDARY SCHOOL,1.350375767,103.9366547,226
METHODIST GIRLS' SCHOOL (SECONDARY),1.33286306,103.7833634,254
HAI SING CATHOLIC SCHOOL,1.374638203,103.9547513,223
ANGLO-CHINESE SCHOOL (BARKER ROAD),1.319450608,103.8356985,245
ANGLICAN HIGH SCHOOL,1.330624547,103.9410621,239
CATHOLIC HIGH SCHOOL,1.354788877,103.8449341,251
CHUNG CHENG HIGH SCHOOL (MAIN),1.305381131,103.8907366,242
CHUNG CHENG HIGH SCHOOL (YISHUN),1.41874603,103.8373193,240
HOLY INNOCENTS' HIGH SCHOOL,1.371215065,103.8960266,233
MARIS STELLA HIGH SCHOOL,1.342183956,103.8780965,237
NAN CHIAU HIGH SCHOOL,1.388687442,103.8902862,244
CHIJ ST. NICHOLAS GIRLS' SCHOOL,1.373729673,103.8343089,253
MANJUSRI SECONDARY SCHOOL,1.327520222,103.901811,188
PRESBYTERIAN HIGH SCHOOL,1.381804695,103.8424318,235
FAIRFIELD METHODIST SCHOOL (SECONDARY),1.301837422,103.7843405,242
NGEE ANN SECONDARY SCHOOL,1.354398239,103.9567447,238
